gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_136,2209.0,3258.0,11554.0,4995.0,7096.0,3949.0,172.0,2121.0,2878.0,108.0,6853.0,423.0,5560.0
gRNA_CDK7_targ_137,5949.0,4323.0,1692.0,7202.0,1192.0,1004.0,46.0,2027.0,29.0,797.0,7511.0,5655.0,5016.0
gRNA_CDK7_targ_138,2371.0,2143.0,2691.0,2196.0,7027.0,1968.0,286.0,145.0,3655.0,1672.0,2006.0,2205.0,3518.0
gRNA_CDK7_targ_139,40.0,98.0,247.0,10.0,394.0,72.0,3.0,2977.0,2.0,1.0,139.0,59.0,1161.0
gRNA_CDK7_targ_140,31.0,687.0,21.0,1015.0,5.0,36.0,7.0,329.0,273.0,89.0,498.0,33.0,1325.0
gRNA_CDK7_targ_141,1015.0,1064.0,3534.0,1592.0,766.0,441.0,68.0,722.0,594.0,20.0,662.0,558.0,2126.0
gRNA_CDK7_targ_142,310.0,1299.0,1280.0,2039.0,745.0,309.0,19.0,171.0,283.0,1109.0,1894.0,28.0,4594.0
gRNA_CDK7_targ_143,5096.0,2240.0,2162.0,7309.0,2525.0,2354.0,136.0,1650.0,141.0,2258.0,3330.0,1450.0,4748.0
gRNA_CDK7_targ_144,335.0,535.0,969.0,1022.0,413.0,200.0,10.0,104.0,57.0,73.0,500.0,92.0,6692.0
gRNA_CDK7_targ_145,1086.0,1308.0,1361.0,3557.0,284.0,1085.0,60.0,673.0,678.0,911.0,1964.0,210.0,9176.0
gRNA_CDK7_targ_146,91.0,36.0,231.0,106.0,116.0,151.0,2.0,1.0,6.0,199.0,23.0,260.0,4388.0
